"","fips","county_name","State","ev_market_penetration","n_charging_locations","gas_regular","gas_mid","gas_premium","gas_diesel","gas_tax","CENSUS_2020_POP","log_population","unemployment_rate_2022","Median_Household_Income_2021","RPP","log_income","Income_adjusted","log_income_adjusted","Perc_Adults_Less_Than_HSD","Perc_Adults_Only_HSD","Perc_Adults_SmCollege","Perc_Adults_Bachelor_Or_Above","min_temp","max_temp","precipitation","avg_temp","Perc_Dem","Perc_Rep"
"1",1001,"Autauga County","AL",0.02,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,58805,10.9819821642851,2.3,66444,87.8734758401856,11.104114766611,756.132602753086,6.62821676126572,10.4,32.8,28.7,28.1,54.5,77.4,303.18,65.7,21.5419373058458,75.4532617904547
"2",1003,"Baldwin County","AL",0.02,41,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,231767,12.3534878356461,2.4,65658,92.022,11.0922147306465,713.503292690878,6.5701870517498,9,27.4,31.2,32.5,58.4,78.7,327.05,68.3,15.7080100176541,81.4290210890778
"3",1005,"Barbour County","AL",0.01,2,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,25223,10.1355115556563,4.1,38649,82.4956418783195,10.5622761804596,468.497475987968,6.14953071423167,24.3,36.7,27.8,11.2,55,77.1,284.09,66,40.0550374560465,59.0276716098456
"4",1007,"Bibb County","AL",0.01,6,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,22293,10.0120280068256,2.5,48454,82.5148198559587,10.7883701732506,587.215727848444,6.37539226142465,19.5,43.9,24.7,11.9,52.6,75.6,307.43,63.9,16.5897830172561,80.198188962925
"5",1009,"Blount County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,59134,10.9875613340831,2.2,56894,81.3748027570415,10.9489451663997,699.159912803314,6.54987948975052,16.4,35.1,33.6,14.9,52.9,72.9,331.25,62.6,6.82655711955537,90.0380595662418
"6",1011,"Bullock County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,10357,9.24541789858888,2.8,32027,87.5583839426009,10.3743345760249,365.778793050765,5.90202876011208,22.4,41.3,24.6,11.7,54.6,76.8,282.9,65.6,69.1259931895573,29.7010972379871
"7",1013,"Butler County","AL",0,2,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,19051,9.85487487261543,3.4,39442,81.5800014587974,10.58258651737,483.476333595317,6.1810023655988,14.4,45.2,26.3,14,54.9,78.1,299.05,66.4,34.5125253893026,64.1333784698714
"8",1015,"Calhoun County","AL",0.01,14,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,116441,11.6651399859367,3,48166,83.677,10.7824086569403,575.618150746322,6.35544450812674,14.8,34.6,31.1,19.5,51.8,74.3,303.9,62.9,24.5181264356337,73.2647558174373
"9",1017,"Chambers County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,34772,10.456567744199,2.6,45447,82.4402674574564,10.7243020908264,551.271865092542,6.31222809054141,17.2,36.2,32.9,13.7,51.4,74.9,300.79,63,32.970297029703,65.0935093509351
"10",1019,"Cherokee County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,24971,10.1254704305296,2.3,46365,81.9738133810767,10.7443001432343,565.607455449952,6.33790029598409,20.2,36.9,30.1,12.8,51.4,73.2,328.33,62.2,9.72027078809554,88.7341933835739
